no,adv.comp,adv.acces,adv.comm,adv.qual,tut.prof,tut.sched,tut.stud,tut.qual,val.devel,val.deci,val.meet,val.info,sat.glad,sat.expe,sat.over
1,5,5,6,6,5,4,6,7,5,5,6,7,7,7,7
2,6,6,5,6,6,6,6,6,6,4,7,6,7,7,7
3,6,6,6,6,6,6,6,6,6,7,7,7,7,6,6
4,1,2,1,1,3,2,1,1,1,1,1,2,1,1,1
5,7,6,7,7,7,7,6,7,7,7,7,7,7,7,7
6,7,7,7,6,6,7,6,7,6,6,6,6,7,6,7
7,7,6,6,6,6,7,3,7,4,4,3,5,7,7,6
8,7,7,7,7,7,5,6,7,7,7,6,7,7,7,7
9,6,6,6,6,5,5,6,5,5,5,5,6,7,6,6
10,7,6,7,7,6,6,5,6,4,4,2,4,5,4,5
11,7,7,7,7,7,7,7,4,7,7,7,7,7,6,7
12,7,7,7,7,4,4,7,4,6,6,6,7,7,6,7
13,7,6,6,7,6,6,6,7,2,2,4,7,7,7,7
14,3,3,4,3,5,6,6,5,4,2,7,7,7,5,6
15,4,4,6,5,6,6,6,6,7,7,6,6,7,5,5
16,6,7,7,7,6,7,7,6,7,7,7,7,7,7,7
17,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
18,6,6,5,5,4,6,6,5,7,7,7,7,7,7,7
19,7,7,7,7,4,4,4,5,6,4,7,7,7,7,7
20,6,7,6,7,4,4,7,7,6,7,7,7,7,7,7
21,6,6,6,6,4,4,3,4,6,6,6,6,7,6,7
22,6,6,6,6,5,6,6,5,4,4,5,6,7,6,6
23,7,7,7,7,4,2,3,3,5,5,5,5,6,6,6
24,6,6,7,6,5,4,6,5,6,6,6,7,7,6,6
25,5,6,6,6,6,6,5,6,7,6,6,6,7,7,7
26,7,7,6,7,7,7,7,7,6,6,5,6,7,5,6
27,7,7,7,7,6,5,7,6,7,7,7,7,7,7,7
28,6,7,6,6,6,5,4,5,5,5,5,6,7,6,7
29,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7
30,7,7,7,7,6,5,4,6,6,7,4,7,6,6,6
31,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7
32,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7
33,7,7,7,7,4,4,4,4,7,6,7,6,7,7,7
34,7,7,7,6,6,6,6,6,6,5,7,7,7,7,7
35,5,4,4,5,5,4,3,6,5,5,5,5,6,6,5
36,7,7,7,7,6,4,4,4,7,7,6,7,7,6,7
37,7,7,7,7,6,7,7,6,5,5,6,7,7,6,7
38,5,5,5,5,4,4,4,4,4,4,4,4,7,6,6
39,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7
40,7,7,7,7,6,6,6,6,6,6,6,7,7,7,7
41,7,7,5,6,6,5,7,6,4,5,6,7,7,7,7
42,7,7,7,7,4,5,4,5,7,6,5,5,7,5,6
43,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7
44,7,7,7,7,7,7,6,7,7,7,7,7,7,6,7
45,7,7,7,7,7,4,7,7,6,7,6,7,7,7,7
46,6,6,6,6,4,4,4,4,5,5,5,6,7,5,7
