headline,summary,headline_text
"Plafon KUR 2021 Naik Jadi Rp 253 T, Ini Strategi BRI","Selain itu, pemerintah juga memutuskan untuk melanjutkan program subsidi bunga KUR hingga tahun 2021.","Kementerian Koordinator Bidang Perekonomian meningkatkan plafon Kredit Usaha Rakyat (KUR) tahun 2021 menjadi Rp 253 triliun, dari sebelumnya Rp 220 triliun. Selain itu, pemerintah juga memutuskan untuk melanjutkan program subsidi bunga KUR hingga tahun 2021. Kebijakan ini disambut baik oleh BRI. Menurut Direktur Utama BRI Sunarso, perseroan akan terus mendukung kebangkitan pelaku Usaha Mikro, Kecil dan Menengah (UMKM) di antaranya melalui penyaluran stimulus serta penyaluran pinjaman agar roda usaha pelaku UMKM kembali berputar. ""Ini artinya kita punya harapan terhadap Pemulihan Ekonomi Nasional (PEN) melalui UMKM. Saya bisa mengatakan, UMKM dalam krisis ini cepat kena duluan, tapi juga cepat pulih duluan,"" ujar Sunarso dalam keterangan tertulis, Sabtu (2/1/2021). Lebih lanjut, Sunarso menjabarkan strategi perseroan untuk menyukseskan penyaluran KUR di tahun 2021, di antaranya melalui digitalisasi proses bisnis serta kolaborasi dengan fintech dan ecommerce. ""BRI akan terus memaksimalkan penggunaan aplikasi proses kredit secara digital melalui BRISpot, optimalisasi referal dari agen BRILink, serta partnership dengan fintech/ecommerce,"" pungkasnya. Sebagaimana diketahui, sepanjang tahun 2020 perseroan mengakselerasi penyaluran KUR guna mendukung pemulihan ekonomi nasional yang diakibatkan pandemi COVID-19. Sejak awal Januari 2020 hingga 25 Desember 2020, BRI berhasil menyalurkan KUR Mikro senilai Rp 125,3 triliun kepada lebih dari 5,2 juta penerima. Pencapaian ini dinilai sesuai dengan semangat yang dicanangkan perseroan, yakni go smaller, go shorter, go faster. "
Buka-bukaan Pelabuhan Tanjung Priok soal Arus Barang Sepanjang Pandemi,Penurunan trafik logistik karena berbagai kegiatan operasional pelabuhan tersibuk dan terpenting di dunia dibatasi.,"Wabah COVID-19 yang secara resmi dinyatakan sebagai pandemi oleh World Health Organization (WHO) pada 12 Maret 2020, telah memberikan dampak besar terhadap seluruh kegiatan usaha di dunia, termasuk dunia usaha kepelabuhanan. Penurunan trafik logistik karena berbagai kegiatan operasional pelabuhan tersibuk dan terpenting di dunia dibatasi. Di Indonesia juga sama, pandemi COVID-19 telah menghantam pelabuhan di Indonesia karena adanya pemberlakukan Pembatasan Sosial Berskala besar di beberapa daerah secara pasti membawa dampak terhadap kegiatan operasional pelabuhan. PT Pelabuhan Tanjung Priok (PTP Multipurpose) menjadi salah satu operator terminal pelabuhan di wilayah PT Pelabuhan Indonesia II (Persero) yang terkena dampak pandemi COVID -19. PTP Multipurpose merupakan salah satu anak perusahaan BUMN PT Pelabuhan Indonesia II (Persero), yang bergerak pada industri jasa kepelabuhanan dan logistik bidang operator terminal multipurpose. Layanan PTP Multipurpose adalah jasa handling general cargo, curah cair (CPO), dan curah kering (semen, batu bara dan lainnya). Adapun jasa layanan yang diberikan kepada para pelanggan, diantaranya stevedoring, cargodoring, gudang penumpukan, receiving/delivery, lapangan dan penumpukan, dan pelayanan lainnya seperti pelayanan konsolidasi barang. Saat ini cakupan wilayah usaha PTP Multipurpose meliputi terminal multipurpose di 10 cabang pelabuhan Indonesia yang berada di bawah pengelolaan PT Pelabuhan Indonesia II (Persero) yang berada di 9 provinsi di Indonesia, yaitu Pelabuhan Tanjung Priok (Provinsi DKI Jakarta), Pelabuhan Banten (Provinsi Banten), Pelabuhan Panjang (Provinsi Lampung), Pelabuhan Jambi (Provinsi Jambi), Pelabuhan Bengkulu (Provinsi Bengkulu), Pelabuhan Teluk Bayur (Provinsi Sumatera Barat), Pelabuhan Palembang (Provinsi Sumatera Selatan), Pelabuhan Cirebon (Provinsi Jawa Barat), Pelabuhan Pangkal Balam (Provinsi Bangka Belitung), dan Pelabuhan Tanjung Pandan (Provinsi Bangka Belitung). Berdasarkan data Indonesian National Shipowner's Association (INSA), pandemi COVID-19 sangat memukul kinerja sektor pelayaran nasional serta kinerja industri terkait lainnya, seperti logistik. Hingga Maret 2020, terjadi penurunan volume kargo, baik pada ekspor impor hingga 14%-18%. Begitu juga pada kargo domestik terutama pada kargo penunjang ekspor impor dan distribusi nasional yang turun 5%-10%. PTP Multipurpose pun mencatatkan penurunan kinerja operasional, arus barang atau throughput tercatat sebesar 38,4 juta ton hingga akhir Desember 2020 atau mencapai 62% dari target yang ditetapkan dalam RKAP Tahun 2020 sebesar 61,9 juta ton. Sementara jika dibandingkan dengan realisasi arus barang pada periode yang sama di tahun 2019 yang tercatat sebesar 43,3 juta ton, maka arus barang pada tahun 2020 menurun sebesar 11%. Throughput terendah sepanjang tahun 2020 yang dialami PTP Multipurpose terjadi di Bulan Mei, yaitu turun sebanyak 36% dari bulan sebelumnya menjadi 2,3 juta ton dan turun sebesar 43% dibandingkan tahun 2019 pada bulan yang sama. Dibandingkan dengan bulan sebelumnya, pada bulan Mei 2020 terjadi penurunan pada jenis general cargo sebanyak 17%, bag cargo sebanyak 42%, dan unitized cargo sebanyak 51%. Kendati demikian, dari bulan Juli hingga Desember 2020, throughput PTP Multipurpose mengalami peningkatan dari bulan ke bulan. ""Dampak dari Covid-19 ini menyebabkan PTP Multipurpose terus berbenah diri untuk menciptakan pola operasional yang berbasis planning and control agar mengahasilkan operasional yang efektif dan efisien dan sesuai dengan customer expectation yaitu fix price, fix time, dan safety,"" kata Direktur Utama PTP Drajat Sulistyo, Jumat (1/1/2021). "
"Di Tengah Pandemi, Pengusaha Restoran Ekspansi ke Sejumlah Kota","Pandemi COVID-19 belum usai, namun tidak pengusaha restoran membuka peluang di beberapa daerah lainnya di Indonesia.","Pandemi COVID-19 belum usai, namun tidak pengusaha restoran membuka peluang di beberapa daerah lainnya di Indonesia. Cut The Crab, restoran yang mempelopori konsep mukbang di Indonesia ini baru saja membuka cabangnya di Malang, Jawa tengah, dan Januari 2021 akan launching di Yogyakarta. ""Setelah Jogja, kami menargetkan pada pertengahan tahun 2021 akan buka di Bali. Kami sedang mencari lokasi yang bagus di Bali,"" kata Teddy Yulianto owner Cut The Crab dalam keterangannya, Jumat (1/1/2020). Teddy menyebutkan, Cut The Crab melakukan ekspansi ke beberapa daerah sebagai salah satu strategi menyiasati kondisi pandemi ini. ""Di masa pandemi ini banyak pengusaha mengurangi aktivitas usahanya, bahkan ada yang menghentikan secara total. Berbeda dengan kami yang memanfaatkan kondisi pandemi ini,"" ujarnya. Tak dipungkirinya, di masa pandemi banyak tawaran yang meringankan kepada para pelaku usaha restoran seperti dirinya. Dicontohkannya, harga sewa yang tidak terlalu mahal dan kemudahan dalam membayar biaya sewa tempat. Di Jakarta, lanjut Teddy, Cut The Crab memiliki empat cabang, yaitu di Jalan Cikajang (Kebayoran Baru), Mangga Besar, Kelapa Gading dan Pantai Indah Kapuk (PIK). Selain itu, Cut The Crab membuat divisi khusus pelayanan secara online untuk menjaring konsumen yang berada di wilayah Jabodetabek yang ditempatkan di Kebun Jeruk, Jakarta Barat, Bekasi dan Depok, Jawa Barat. "
Bagaimana Cara Holding Asuransi Jaga Keuangan Saat Pandemi?,Indonesia Financial Group (IFG) atau BUMN Holding Asuransi dan Penjaminan mendapat peringkat credit rating idAAA dari lembaga pemeringkat PEFINDO.,"Indonesia Financial Group (IFG) atau BUMN Holding Asuransi dan Penjaminan mendapat peringkat credit rating idAAA dari lembaga pemeringkat PEFINDO. Peringkat ini karena kondisi kesehatan keuangan yang terbaik dan peringkat tertinggi atas kesehatan keuangan sebuah korporasi. ""Peringkat tersebut mencerminkan dukungan yang sangat kuat dari Pemerintah, profil kredit yang sangat kuat dari anak-anak perusahaan asuransi dan penjaminan, serta likuiditas dan fleksibilitas keuangan yang kuat. Namun, peringkat tersebut dibatasi oleh kinerja operasional yang berada pada tingkat rata-rata karena pandemi COVID-19,"" kata PEFINDO dalam keterangan resmi, Selasa (29/12). Obligor berperingkat idAAA merupakan peringkat tertinggi yang diberikan oleh PEFINDO. Kemampuan obligor untuk memenuhi komitmen keuangan jangka panjangnya, relatif terhadap obligor Indonesia lainnya, adalah superior. Peringkat idAAA ini menunjukkan bahwa IFG sebagai BUMN Holding Asuransi dan Penjaminan terbesar di Indonesia diakui memiliki pengelolaan keuangan yang prima dan mampu memenuhi seluruh kewajiban keuangannya secara prima di tengah krisis akibat pandemi ini, baik dari sisi keuangan maupun operasional. Sekretaris Perusahaan IFG Oktarina Dwidya Sistha mengungkapkan peringkat ini akan menjadi modal dan semangat baru di tahun 2021 untuk bekerja lebih keras untuk menghasilkan kinerja terbaik serta mempertahankan peringkat tersebut. ""Hal ini tidak terlepas dari komitmen, integritas dan kolaborasi semua pihak, khususnya Insan IFG, dalam melaksanakan strategi dan kebijakan IFG agar dapat dijalankan dengan tata kelola bisnis, keuangan dan operasional yang maksimal berlandaskan prudent dan good governance"", jelas Sistha. Sebagai induk holding, IFG memiliki sembilan entitas anak perusahaan yang fokus pada produk keuangan dan pasar modal, asuransi umum dan penjaminan, serta asuransi jiwa dan kesehatan. Adapun anak perusahaan IFG meliputi PT Jasa Raharja, PT Jaminan Kredit Indonesia (Jamkrindo), PT Asuransi Kredit Indonesia (Askrindo), PT Asuransi Jasa Indonesia (Jasindo), PT Graha Niaga Tata Utama, PT Bahana TCW Investment Management, PT Bahana Sekuritas, PT Bahana Artha Ventura, dan PT Bahana Kapital Investa. IFG saat ini memiliki total aset secara konsolidasi sebesar Rp76,2 triliun. Adapun total premi bruto sebesar Rp18 triliun, dimana total dana kelolaan konsolidasi holding mencapai Rp81,8 triliun hingga saat ini. Di tahun 2021 IFG akan mendongkrak pertumbuhan anorganik salah satunya melalui pendirian IFG Life, perusahaan asuransi yang fokus di layanan asuransi jiwa dan kesehatan. Ke depannya IFG Life akan menerima migrasi polis asuransi dari nasabah PT Asuransi Jiwasraya (Persero) hasil restrukturisasi. "
"Pandemi Nggak Ngaruh, Ibu Muda Ini Raup Cuan Bisnis Rujak Bakso",Pandemi COVID-19 tak menyurutkan Amanda Treeshasanti untuk menjalankan bisnis kuliner rujak bakso kacida (Rubaci). Bisnis ini dirintisnya sejak 2016.,"Pandemi COVID-19 tak menyurutkan Amanda Treeshasanti untuk menjalankan bisnis kuliner. Perempuna berusia 28 tahun itu merintis bisnis rujak bakso kacida (Rubaci) sejak 2016. Sejak April 2020 lalu permintaan Rubaci miliknya tembus hingga ribuan setiap bulannya. ""Produksi kita satu hari itu bisa mencapai 1.000-2.000 pcs,"" kata Founder Rubaci Amanda saat dijumpai detikFinance di Akar Creative Space Jalan Buahbatu, Kota Bandung, Selasa (29/12/2020). Ibu muda, beranak dua ini menyebut, omzet setiap bulannya bisa tembus di angka Rp 100 juta. ""Paling besar omzet kita itu, sekitar 60 sampai 100 juta,"" ujar Amanda. Ia tak menyangka omzet penjualan Rubaci di masa pandemi bisa naik pesat dibandingkan beberapa waktu ke belakang. ""Sejak pandemi ini memang di luar dugaan kita, justru kita mengalami peningkatan penjualan sampai, beberapa kali lipat, dari semenjak bulan April sampai Desember ini,"" ungkapnya. Di masa pandemi, Amanda memanfaatkan beragam aplikasi online hingga menggaet banyak reseller untuk memasarkan produk rujak bakso miliknya. Ia berencana, di Tahun 2021 mendatang akan membuat outlet untuk penjualan offline. ""Kita sekarang ini lewat online, di tahun depan kita udah mulai buka tempat untuk dine in karena memang banyak permintaan dari pasar,"" ujarnya. Selain menjual di dalam negeri, wanita kelahiran Kecamatan Cicendo, Kota Bandung ini bisa menjual produknya ke luar negeri. ""Penjualan kita ini ke seluruh Indonesia sudah melakukan pengiriman, terus ada juga ke beberapa negara ke Asia, seperti Malaysia, Singapura, Hong Kong dan Taiwan,"" jelasnya. Amanda menyebut, di setiap kota di Indonesia ia memiliki lima orang resaller dan satu agen. Setiap rujak bakso Rubaci dijualnya dengan harga beragam dari Rp 20-30 ribu. Tak hanya itu, dari udahannya ini ia dapat menyerap tenaga kerja yang merupakan tetangganya sendiri. ""Pegawai tetap enam oramg, cuman kalau ada over load pemesanan, kita memperdayakan ibu-ibu di sekitar rumah, bisa sampai 10 orang, bahkan lebih,"" ujarnya. Lalu apa strategi Amanda, bisa membuat produk UMKM yang dibuatnya laku di masa pandemi COVID-19? ""Kita memiliki strategi, melihat peluang, jadikan ancaman itu sebagai motivasi kita, banyak merangkul bebeberapa usaha-usaha kecil, seperti reseller, kita konsepnya simbiosis mutualisme,"" papar Amanda. Pelopor Pertama di Bandung. Langsung klik halaman berikutnya. 

Selanjutnya 
Halaman


1
2





rujak bakso
kuliner
peluang usaha


 "
Cloud Kitchen Permudah Memulai Bisnis Kuliner Online,"Cloud kitchen makin marak. Menghadirkan dapur yang bisa dipakai bersama, sehingga memangkas biaya operasional pelaku bisnis kuliner online.","Pandemi COVID-19 telah mengubah perilaku masyarakat yang tadinya datang ke restoran menjadi memesan makanan dari rumah atau kantor secara online. Tak pelak membuat pertumbuhan pengantaran makanan di Indonesia telah melebihi China dan Korea Selatan dengan tingkat pertumbuhan 19.82%. Kondisi ini sebenarnya masih memberikan peluang bagi masyarakat yang ingin menjalankan bisnis kuliner. Tapi memang tingginya modal awal kerap menjadi penghambat ketika ingin memulai. Tapi kini ada solusi cloud kitchen yang bantu mempermudah mereka yang ingin memulai bisnis kuliner online. Cloud kitchen bisa disebut dapur bersama. Konsepnya mirip co-working space. Jadi dapur yang tersedia tidak hanya bisa digunakan oleh satu brand restoran, tetapi juga bisa dipakai oleh banyak brand. Selain itu, cloud kitchen tidak memiliki fasilitas makan di tempat, hanya melayani jasa pengantaran online. Semua itu dapat menghemat biaya operasional karena biaya sewa tempat, staf, pembelian peralatan dapat terpangkas. Karenanya cloud kitchen kian marak di berbagai negara dan diperkirakan makin meningkat ke depannya. Sebuah laporan riset menyebutkan pada 2026 diprediksi pasar cloud kitchen akan menembus USD 2,63 miliar, meroket dari USD 0,65 miliar di 2018. Di Indonesia sendiri, penyedia cloud kitchen juga mulai ramai. Salah satu pemainnya adalah Telepot Co-Kitchen. Mereka telah membuka cloud kitchen pertamanya di daerah Kemang, Jakarta selatan yang berisikan 90 dapur. Dipilihnya lokasi ini setelah melalui studi kelayakan dengan mempertimbangkan permintaan order makanan yang besar dan daya beli yang tinggi. ""Dalam jarak 6 km, flagship pertama Telepot Co-Kitchen dikelilingi berbagai residensial, Central Business District (CBD), maupun area komersil yang menjadi potensi pangsa pasar dan memiliki permintaan tinggi terhadap online food delivery,"" terang Nicholas Hum, Co-Founder Telepot Co-Kitchen. Cara kerja Telepot Co-Kitchen seperti umumnya di cloud kitchen, dimulai saat konsumen melakukan order makanan ataupun minuman melalui aplikasi agregator kemudian pesanan tersebut akan disampaikan ke dapur untuk dipersiapkan. Pada saat bersamaan, driver akan langsung menuju ke Telepot Co-Kitchen dan menemui tim yang bertugas untuk mengambil pesanan. Setelah makanan telah siap, tim Telepot Co-Kitchen akan mengambil pesanan di dapur dan memberikannya kepada pengantar makanan untuk dikirimkan kepada konsumen. Pick-up juga dapat langsung dilakukan oleh pemesan di dapur Telepot Co-Kitchen. Namun yang menariknya, selain dapur yang mendukung operasional bisnis kuliner, Telepot Co-Kitchen juga memberikan fasilitas dan layanan untuk fungsi bisnis lainnya seperti studio foto untuk produk makanan dan minuman, dapur estetis untuk konten marketing, dan lainnya. Tidak ketinggalan layanan untuk mengembangkan bisnis seperti analisis performa usaha hingga perencanaan strategi bisnis juga diberikan kepada setiap member dari Telepot Co-Kitchen secara berkala. ""Melalui konsep cloud kitchen, pebisnis kuliner tidak perlu berinvestasi pada peralatan makan, desain interior, dan harga sewa tinggi dengan beban biaya diawal. Hal ini tentunya memberikan banyak keuntungan dan penghematan, terutama bagi pelaku UMKM yang memiliki modal terbatas,"" kata Nicholas Hum. "
Rahasia Arief Muhammad Sukses Punya Bisnis UMKM di Masa Pandemi,Arif Muhammad terkenal sebagai seorang content creator sekaligus influencer yang memiliki penghasilan besar di Tanah Air.,"Arif Muhammad terkenal sebagai seorang content creator sekaligus influencer yang memiliki penghasilan besar di Tanah Air. Kendati demikian, hal ini tak serta merta membuat dirinya merasa aman dalam hal finansial, terlebih berkurangnya job di masa pandemi yang tak kunjung usai ini. Imbas hal tersebut, ia pun memaksimalkan perannya dalam mencari peluang terus berkarya dan bertahan hidup di tengah badai pandemi ini, salah satunya dengan merambah bisnis online dari pakaian hingga kuliner. Usaha ini pun terbilang sukses dilakoni pria kelahiran 26 Oktober 1990 ini. Kira-kira apa rahasia sukses Arief Muhammad? Arief mengungkapkan ada empat hal yang harus diperhatikan dalam memulai bisnis baik bagi pelaku bisnis maupun Usaha Mikro Kecil Menengah (UMKM). Keempat hal tersebut pun bisa dilakukan oleh siapa saja dan tak melulu harus bermodal besar, yakni hanya paham peluang era digital. ""Ada 4 hal yang harus diperhatikan dalam memulai bisnis online bagi kita pelaku bisnis/UMKM, pertama pelajari dan lakukan strategi pemasaran online misalnya, coba jalankan iklan di Facebook, membuat video promosi di Youtube, meng-endorse selebgram untuk mempromosikan produk kita,"" ujarnya dalam keterangan tertulis, Selasa (28/12/2020). Kedua, jalin interaksi dengan para pelanggan di media sosial seperti membalas comment dengan cepat, minta testimoni atau sekedar menyapa. Ketiga, selalu membuka kesempatan bermitra dengan pihak lain yang memberikan keuntungan bagi kita pelaku bisnis/UMKM seperti jasa pemesanan dan pengiriman barang online atau jasa pembayaran digital untuk hal pembayaran. ""Dan terakhir selalu mengikuti kegiatan-kegiatan yang ada di media sosial seperti kegiatan di @daihatsuInd ini lumayankan hadiahnya bisa buat tambah modal usaha dan mengurangi biaya operasional kita selama 1 bulan hehehe,"" ungkap Arief Muhammad. Diketahui, Daihatsu #DariUntukSahabat mendukung pelaku bisnis/ UMKM dalam memberikan wadah untuk memperluas pasar di media sosial. Arief Muhammad pun berkolaborasi dengan Daihatsu memberikan modal usaha Rp 10.000.000 dan support total 5 unit Grand Max untuk kebutuhan operasional 1 bulan penuh kepada 5 UMKM yang terpilih. Media sosial @daihatsuInd akan selalu mengadakan kegiatan-kegiatan positif dan mensupport pelaku bisnis UMKM ke depannya ""Kegiatan semacam ini akan terus kita buat untuk membantu para pelaku bisnis/UMKM di Indonesia agar lebih termotivasi dan bisa mencetak pelaku-pelaku bisnis yang baru,"" jelas Head of Domestic Marketing Division Daihatsu Rudy Ardiman. Nah, buat para pelaku bisnis/UMKM tunggu apalagi langsung follow dan ikuti @daihatsuInd untuk tahu cara mendapatkan modal usaha Rp 10.000.000 dan 5 unit Grand Max untuk kebutuhan operasional 1 bulan penuh kepada 5 UMKM terpilih. Kegiatan ini tidak dipungut biaya sepeser pun alias gratis ya. "
Wealth Management BRI Catat Pertumbuhan Positif Year on Year,"Penjualan SBN oleh BRI meningkat hampir dua kali dari penjualan tahun sebelumnya, yakni sebesar 185 persen secara tahunan (year on year)","PT Bank Rakyat Indonesia (Persero) Tbk mencatatkan pertumbuhan positif dalam bisnis wealth management di tengah pandemi COVID-19. Dana kelolaan wealth management BRI per akhir November 2020 meningkat 17% secara tahunan (year on year) dengan Asset Under Management (AUM) mencapai angka Rp 132 triliun. Bisnis wealth management merupakan alternatif instrumen investasi yang ditawarkan oleh BRI kepada nasabah atau investor. Salah satu yang banyak dipilih nasabah dan investor, yakni Surat Berharga Negara (SBN) karena merupakan salah satu instrumen investasi yang aman saat ini. Penjualan SBN oleh BRI meningkat hampir dua kali dari penjualan tahun sebelumnya, yakni sebesar 185 persen secara tahunan (year on year) dengan market share penjualan mendekati 12 persen. Sebagai mitra distribusi, Bank BRI mencatat total penjualan SBN Ritel pada primary market selama tahun 2020 sebesar Rp 9 triliun. ""Kami memberikan apresiasi atas kepercayaan nasabah yang telah menginvestasikan dananya di bisnis wealth management BRI. Tentunya kami berupaya untuk mengelola dana tersebut secara optimal,"" ungkap Direktur Konsumer BRI Handayani dalam keterangan tertulis, Senin (28/12/2020). Lebih lanjut, Handayani mengungkapkan seiring peningkatan Asset Under Management (AUM), Fee Based Income (FBI) dari produk investasi dan bancassurance BRI juga meningkat sebesar 33% secara tahunan (year on year). Handayani mengatakan BRI terus berupaya mengakselerasi kinerja wealth management BRI dengan menyiapkan strategi memperkuat edukasi pengelolaan keuangan kepada masyarakat. Selain itu BRI juga menawarkan instrumen produk dengan risiko yang relatif aman, maupun investasi dan proteksi yang bekerja sama dengan manajer investasi, asuradur maupun sekuritas yang terpercaya dan berpengalaman. ""Upaya tersebut akan terus dilaksanakan di 2021 sesuai komitmen BRI mendorong inklusi investasi kepada masyarakat dan nasabah. Kami optimis jika bisnis wealth management mempunyai prospek cerah dan akan terus tumbuh di masa depan,"" pungkas Handayani.  "
Annyeonghaseyo! BTS Kampanye Finansial dengan KB Kookmin,KB Kookmin Bank yang merupakan induk Bank Bukopin meluncurkan kampanye perdana di Indonesia dengan menggandeng boyband BTS.,"KB Kookmin Bank yang merupakan Bank nomor 1 di Korea Selatan meluncurkan kampanye perdana di Indonesia dengan menggandeng boyband BTS. Dari tayangan iklan tersebut, BTS menampilkan kampanye bertajuk Bintang Finansial Indonesia. Selain itu ditampilkan pula ""Star is Coming"" Bank No.1 Korea KB Hadir di Indonesia. Kemudian dari potongan tersebut juga menampilkan Bank No.1 Korea KB dan Bukopin berkolaborasi untuk menghadirkan layanan yang terbaik. Dalam keterangan resminya Head of brand ESG Group, KB Kookmin Bank Mun-cheol Jeong mengungkapkan dengan kampanye ini diharapkan keinginan untuk berkomunikasi dengan lebih baik dan bisa tumbuh dengan nasabah Indonesia. Saat ini memang KB Kookmin berupaya meningkatkan kepercayaan investor saham bank di bursa efek Indonesia (BEI). Terbukti, sejak KB Kookmin memperbesar kepemilikannya dan menjadi pemegang saham pengendali (PSP) di Bukopin melalui Penawaran Umum Terbatas V (PUT V) pada Juli 2020, saham Bukopin telah melaju hingga 256%. Pada penutupan pekan kemarin, saham berkode BBKP ini berada di harga Rp 635 per saham (23/12). Harga saham tersebut naik tajam daripada harga saat Otoritas Jasa Keuangan (OJK) mengesahkan Kookmin jadi PSP Bukopin pada 30 Juli 2020 sebesar Rp 178 per saham. ""Kami bersyukur kepercayaan investor, nasabah dan para pemangku kepentingan terhadap upaya perubahan dan perbaikan Bukopin terus tumbuh semakin besar. Dukungan penuh Kookmin Bank dan Investor ini tentu menambah keyakinan kami untuk terus melanjutkan transformasi bisnis yang menjadi fokus manajemen Bukopin dan Kookmin,"" jelas Presiden Direktur Bukopin Rivan A. Purwantoro. Pada fase pertama, Kookmin masuk ke Bukopin dalam PUT IV dengan mengambil sebanyak 2,56 miliar saham baru di harga Rp 560 per saham pada 22 Juli 2018. Hasilnya KB Kookmin memiliki 22% saham Bukopin. Setelah itu di PUT V yang berlangsung akhir Juli 2020, Kookmin menambah sebanyak 2,97 miliar lembar saham baru dan resmi menjadi PSP dengan kepemilikan 33,9%. Rivan menambahkan transformasi yang kini tengah dijalankan akan semakin memperkuat fundamental perusahaan, terutama dalam memperluas segmen bisnis dan menangkap potensi pasar baru melalui kekuatan digital banking. Langkah ini juga menjadi salah satu fokus perusahaan untuk meningkatkan kapabilitas Bank Bukopin dalam mendukung sektor kredit UMKM sebagai sektor andalan perusahaan. 

Selanjutnya 
Halaman


1
2





bukopin
bts
army
kb kookmin bank


 "
Berapa Besar Rumah Nempel Stasiun Bisa Hemat Ongkos Transportasi?,Rata-rata biaya transportasi masyarakat Jabodetabek mencapai 32 persen dari seluruh gajinya. Padahal pengeluaran itu bisa dihemat dengan cara ini.,"Pandemi virus Corona memaksa sebagian besar orang semakin ketat mengatur pengeluaran. Ini tak lain mengingat masih belum mementunya kondisi ekonomi yang terhantam pandemi virus Corona. Salah satu yang bisa dilakukan adalah dengan menghemat pengeluaran transportasi. Memilih hunian di dekat pusat transportasi umum bisa jadi salah satu solusi untuk menjawab kondisi tersebut. Terlebih dengan makin mahal dan tidak praktisnya penggunaan transportasi pribadi ditambah pemerintah yang akan terus mendorong seluruh masyarakat untuk menggunakan transportasi umum. Penggunaan transportasi pribadi ini juga yang membuat rata-rata porsi biaya transportasi per bulan untuk kalangan pekerja perkotaan masih sangat tinggi. Rata-rata biaya transportasi masyarakat Jabodetabek mencapai 32 persen dari seluruh gajinya, bandingkan di Singapura yang hanya 4,8 persen atau Hong Kong 6,1 persen. Karena itu sekali lagi, hunian nempel stasiun atau hunian berkonsep transit oriented development (TOD) bisa menjadi solusi efektivitas dan efisiensi itu. Saat ini, sebenarnya sudah banyak pengembang yang membangun hunian dengan mengusung konsep TOD in.S Salah satunya seperti LRT City Tebet-The Premiere MTH hasil pengembangan PT Adhi Commuter Properti (ACP). Berlokasi di koridor bisnis MT Haryono, hunian ini terintegrasi dengan stasiun lintas raya terpadu (LRT) Cikoko dan cukup berjalan kaki 150 m. Bukan hanya itu, LRT City MT Tebet-The Premiere MTH disebut juga kawasan green transport karena cukup berjalan kaki ke moda lain yaitu kereta komuter Stasiun Cawang dan Halte Transjakarta. Ke Bandara Halim Perdana Kusuma juga hanya 10 menit. ""Konsep segitiga emas public transportation ini yang ingin kami hadirkan kepada masyarakat dan ini lifestyle yang modern karena menggunakan transprotasi pribadi justru kuno. Dengan moda transprotasi yang paling lengkap mulai LRT, kereta komuter, dan Transjakarta, penghuni akan merasakan kenyamanan hunian beserta fasilitasnya dan sarana transprotasi modern yang tersedia,"" ujar Aan Susanto, Project Director LRT City Tebet - The Premiere MTH. Bersambung ke halaman selanjutnya. 

Selanjutnya 
Halaman


1
2





tod
rumah nempel stasiun
rusun nempel stasiun


 "
